1315726808878891897,OVS2_P2005 46,7.275,7.275
685577331064790747,KC_P2007 97.5,1.53,1.53
1336200347564775589,OVS2_P2010 22,0.275,0.275
1349723757843966999,OVS2_C2009 17,0,0
4599331016217216167,SB_C2105 14.75,1,1
706096742044185375,KC_C2012 137.5,6.67,6.67
1371696718014758097,OVS2_C2006 34,3.625,3.625
706513932369939626,KC_P2012 115,9.29,9.29
1431475620268121532,OVS2_C2010 19,0,0
706630369682251462,KC_C2107 130,13.03,13.03
1444031513383330174,OVS2_C2005 29,9.75,9.75
4670224817076883539,SB_P2107 15.25,1.72,1.72
733403518476070761,KC_P2007 60,0.01,0.01
1585735416377797776,OVS2_P2010 14.5,0,0
4704523774153263752,SB_P2007 15.75,1.79,1.79
1644685891838004783,OVS2_C2009 10.5,0,0
4731992454087040504,SB_P2110 18.5,4.5,4.5
740249703326368362,KC_P2007 50,0.01,0.01
1680759707915415712,OVS2_P2011 28,2.325,2.325
4749722933291058029,SB_C2107 11,3.36,3.36
747759248473806992,KC_C2105 152.5,6.89,6.89
1687752524291830360,OVS2_C2006 18,0,0
750689603383317873,KC_C2007 130,3.69,3.69
1715361232903640467,OVS2_C2007 8.5,0,0
4770592167389683775,SB_C2007 17,0.14,0.14
763264948897940666,KC_C2112 90,38.29,38.29
1760001189816869653,OVS2_C2005 9.5,0,0
4773216405546977385,SB_P2107 15,1.54,1.54
1911844605904497144,OVS2_P2007 25,0,0
4781051599241974023,SB_P2103 19,4.42,4.42
778229431109015163,KC_C2112 87.5,40.57,40.57
1925720476733959943,OVS2_P2009 9.5,0,0
4786204581124942819,SB_C2110 12.25,2.31,2.31
1987094060376799536,OVS2_C2009 8,0,0
4800691523108750343,SB_C2201 17,0.51,0.51
791772831540021636,KC_P2009 172.5,57.31,57.31
1994585164537644483,OVS2_P2006 8,0,0
4855414868780251089,SB_C2010 11.5,2.97,2.97
2200892646658995539,OVS2_C2006 19,0,0
4876514939674047500,SB_P2103 13,0.36,0.36
2211124651883682726,OVS2_C2005 40,0.9,0.9
4881250131102302881,SB_C2107 14.5,0.98,0.98
2309291609575682090,OVS2_P2008 12,0,0
4896101483100616629,SB_P2201 9,0.03,0.03
2320421257118828508,OVS2_C2007 26,8.95,8.95
4907939168330603248,SB_P2010 22,7.66,7.66
876685395148512479,KC_C2007 72.5,42.18,42.18
2332783877923151313,OVS2_P2006 12.5,0.025,0.025
4932560550010567217,SB_C2105 19,0.19,0.19
896066037052141348,KC_C2103 82.5,39.99,39.99
2361509741508439685,OVS2_C2007 28,7.1,7.1
4944405194885044439,SB_P2110 13,0.57,0.57
