Exchange,Product Name,Product Symbol,Alternate Symbol,Product Type,Asset Class,Sub-Asset Class,Currency,Market Data Channel
ICE,Crude Diff Futures (balmo),18T S,Arg LLS/WTI 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Crack Futures (bbl) (balmo),1F3 S,RBOB 1L/BRN 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Diff Futures (balmo),1FY S,RBOB1L/EUBob,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZLW S|SMT S,SGMog92,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Crack Futures (bbl) (balmo),1F4 S,RBOB 1L/BRN 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZOG S|SMS S,SGMog97,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures (balmo),1GU S,10pFRTB,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZNB S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures (balmo),1GT S,10pFRTB,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Diff Futures (balmo),1FZ S,RBOB1L/EUBob,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoil Crack Futures (balmo),19O S,LS 1L/BRN 1L MT,Future,,,USD,IFEU Energy Div Oil
ICE,Crude Diff Futures (balmo),18S S,Arg LLS/WTI 1L,Future,,,USD,IFEU Energy Div Oil
BVMF,,BGIM18C014100_E,,Option,,,BRL,ALL
Eurex,1ST FRIDAY SAP SE,SAP1,,Spread,Equities,Single stock,,ALL
ICE,Gasoil Crack Futures (balmo),190 S,LS 1L/BRN 1L MT,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures (balmo),1G5 S,10pFRTB,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Crack Futures (bbl) (balmo),1EG S,RBOB 1L/BRN 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Crack Futures (bbl) (balmo),1EF S,RBOB 1L/BRN 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZKZ S|SMT S,SGMog92,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZMD S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures (balmo),1G6 S,10pFRTB,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoil Crack Futures (balmo),18Z S,LS 1L/BRN 1L MT,Future,,,USD,IFEU Energy Div Oil
ICE,Crude Diff Futures (balmo),185 S,Arg LLS/WTI 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZPT S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Futures Spr,ZME S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoline Diff Futures (balmo),1FB S,RBOB1L/EUBob,Future,,,USD,IFEU Energy Div Oil
ICE,OCA Futures,OC8 P,,Option,,,CAD,ICE Futures SG
ICE,CCA Futures,CAY P,CCA V20,Future,,,USD,ICE Phys Env
ICE,Gasoil Crack Futures (balmo),198 S,LS 1L/BRN 1L MT,Future,,,USD,IFEU Energy Div Oil
ICE,REC-NJ Futures,NCW P,REC-NJ C1 20,Future,,,USD,ICE Phys Env
ICE,Crude Diff Futures,DCR S,CPCBlend/DBrent,Future,,,USD,IFEU Energy Div Oil
ICE,CSAPR NOx Futures,NOO P,CS Nox OS 16,Future,,,USD,ICE Phys Env
ICE,CSAPR NOx Futures,NAN P,CS Nox AN 16,Future,,,USD,ICE Phys Env
ICE,Gasoline Futures Spr,ZLH S|SMT S,SGMog92,Spread,,,USD,IFEU Energy Div Oil
ICE,Peak Futures (1 MW),ETZ S,ERCOT W RT Mini,Future,,,USD,IFUS Energy Div Pwr
ICE,Crude Diff Futures (balmo),18D S,Arg LLS/WTI 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Capacity Futures,NYR S,NYISO St Cap RR,Future,,,USD,IFUS Energy Div Pwr
ICE,Off-Peak Futures (1 MW),RIZ S,OPNERhode DA1MW,Future,,,USD,IFUS Energy Div Pwr
ICE,Off-Peak Futures (1 MW),INO S,OP PaloV Mini,Future,,,USD,IFUS Energy Div Pwr
ICE,Gasoline Futures Spr,ZMM S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
ICE,Jet Fuel Futures,JCP S,Jet FOB MED,Future,,,USD,IFEU Energy Div Oil
ICE,Peak Futures (1 MW),ETX S,ERCOT Hou Mini,Future,,,USD,IFUS Energy Div Pwr
ICE,Gasoline Crack Futures (bbl) (balmo),1EL S,RBOB 1L/BRN 1L,Future,,,USD,IFEU Energy Div Oil
ICE,CSAPR SO2 Futures,SOP P,CS SO2 G1 16,Future,,,USD,ICE Phys Env
ICE,REC-MA Futures,MB9 P,REC-MA C1 19,Future,,,USD,ICE Phys Env
ICE,Gasoline Futures (balmo),1GB S,10pFRTB,Future,,,USD,IFEU Energy Div Oil
ICE,Peak Futures (1 MW),CAA S,NP15 DA Mini FP,Future,,,USD,IFUS Energy Div Pwr
ICE,Peak Futures,PMJ S,PJM RT 50MW,Future,,,USD,IFUS Energy Div Pwr
ICE,Peak Futures (1 MW),INP S,Palo Verde Mini,Future,,,USD,IFUS Energy Div Pwr
ICE,Bitumen Futures,AB1 S,Argus ABX1,Future,,,USD,IFEU Energy Div Oil
ICE,Diesel Futures,GUE S,GC Exp ULSD,Future,,,USD,IFEU Energy Div Oil
ICE,Capacity Futures,NYC S,NYISO NYC CapRR,Future,,,USD,IFUS Energy Div Pwr
ICE,RGGI Futures,RGP P,RGGI V17,Future,,,USD,ICE Phys Env
ICE,Gasoline Crack Futures (bbl) (balmo),1EO S,RBOB 1L/BRN 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Peak Futures (1 MW),RIY S,NERhode DA1MW,Future,,,USD,IFUS Energy Div Pwr
ICE,CCA Futures,CAX P,CCA V19,Future,,,USD,ICE Phys Env
ICE,Diesel Diff Futures,DCS S,ULSDG3OPIS/HO1L,Future,,,USD,IFEU Energy Div Oil
ICE,Crude Diff Futures (balmo),18A S,Arg LLS/WTI 1L,Future,,,USD,IFEU Energy Div Oil
ICE,Off-Peak Futures (1 MW),CAB S,OP NP-15 Mini,Future,,,USD,IFUS Energy Div Pwr
ICE,Peak Futures (1 MW),ETY S,ERCOT S RT Mini,Future,,,USD,IFUS Energy Div Pwr
